product_id  ,category  ,brand  ,size  ,color  ,price  ,stock_quantity  ,description  ,supplier_id  ,discount_percentage  ,rating  ,review_count  ,created_at  ,updated_at  ,image_url  ,is_active  
P022  ,Electronics  ,BrandV  ,N/A  ,White  ,199.99  ,15  ,Smart home assistant with voice control and smart features  ,S022  ,25  ,4.7  ,130  ,2024-01-10  ,2024-01-15  ,http://example.com/image22.jpg  ,true  
P023  ,Clothing  ,BrandW  ,XL  ,Blue  ,49.99  ,20  ,Classic blue denim jacket that never goes out of style  ,S023  ,5  ,4.8  ,140  ,2024-01-20  ,2024-01-25  ,http://example.com/image23.jpg  ,true  
P024  ,Electronics  ,BrandX  ,N/A  ,Grey  ,299.99  ,10  ,High-performance gaming laptop with powerful graphics  ,S024  ,10  ,4.9  ,160  ,2024-01-30  ,2024-02-05  ,http://example.com/image24.jpg  ,true  
P025  ,Clothing  ,BrandY  ,M  ,Pink  ,34.99  ,35  ,Cute pink summer dress that is perfect for beach outings  ,S025  ,15  ,4.6  ,150  ,2024-02-10  ,2024-02-15  ,http://example.com/image25.jpg  ,true  
P026  ,Electronics  ,BrandZ  ,N/A  ,Black  ,149.99  ,20  ,Wireless gaming mouse with customizable settings for gamers  ,S026  ,20  ,4.5  ,120  ,2024-02-20  ,2024-02-25  ,http://example.com/image26.jpg  ,true  
P027  ,Clothing  ,BrandAA  ,L  ,Green  ,39.99  ,40  ,Stylish green tank top perfect for summer festivals  ,S027  ,10  ,4.2  ,80  ,2024-03-01  ,2024-03-05  ,http://example.com/image27.jpg  ,true  
P028  ,Electronics  ,BrandAB  ,N/A  ,Silver  ,199.99  ,15  ,High-quality soundbar for an immersive home theater experience  ,S028  ,15  ,4.6  ,140  ,2024-03-10  ,2024-03-15  ,http://example.com/image28.jpg  ,true  
P029  ,Clothing  ,BrandAC  ,S  ,Orange  ,19.99  ,80  ,Lightweight orange summer shirt ideal for hot days  ,S029  ,5  ,4.1  ,50  ,2024-03-20  ,2024-03-25  ,http://example.com/image29.jpg  ,true  
P030  ,Electronics  ,BrandAD  ,N/A  ,Black  ,129.99  ,15  ,Smart fitness tracker with heart rate monitoring and activity tracking  ,S030  ,10  ,4.4  ,90  ,2024-03-30  ,2024-04-02  ,http://example.com/image30.jpg  ,true  
P031  ,Clothing  ,BrandAE  ,XL  ,Purple  ,44.99  ,25  ,Trendy purple scarf that adds color to any outfit  ,S031  ,15  ,4.8  ,130  ,2024-04-10  ,2024-04-15  ,http://example.com/image31.jpg  ,true  
P032  ,Electronics  ,BrandAF  ,N/A  ,Black  ,349.99  ,8  ,Latest tablet with high-resolution display and powerful processor  ,S032  ,0  ,4.9  ,200  ,2024-04-20  ,2024-04-25  ,http://example.com/image32.jpg  ,true  
P033  ,Clothing  ,BrandAG  ,M  ,Brown  ,39.99  ,50  ,Stylish brown leather jacket perfect for fall  ,S033  ,10  ,4.3  ,90  ,2024-04-30  ,2024-05-05  ,http://example.com/image33.jpg  ,true  
P034  ,Electronics  ,BrandAH  ,N/A  ,Black  ,199.99  ,20  ,High-quality drone with 4K video capabilities for aerial photography  ,S034  ,20  ,4.6  ,150  ,2024-05-10  ,2024-05-15  ,http://example.com/image34.jpg  ,true  
P035  ,Clothing  ,BrandAI  ,L  ,Beige  ,54.99  ,30  ,Comfortable beige sweater suitable for layering in winter  ,S035  ,5  ,4.5  ,120  ,2024-05-20  ,2024-05-25  ,http://example.com/image35.jpg  ,true  
P036  ,Electronics  ,BrandAJ  ,N/A  ,White  ,89.99  ,25  ,Portable projector with high-resolution display for presentations  ,S036  ,15  ,4.4  ,110  ,2024-05-30  ,2024-06-05  ,http://example.com/image36.jpg  ,true  
P037  ,Clothing  ,BrandAK  ,S  ,Red  ,29.99  ,100  ,Casual red summer dress perfect for outdoor events  ,S037  ,10  ,4.2  ,95  ,2024-06-10  ,2024-06-15  ,http://example.com/image37.jpg  ,true  
P038  ,Electronics  ,BrandAL  ,N/A  ,Black  ,199.99  ,15  ,Smartwatch with fitness tracking and heart rate monitoring  ,S038  ,25  ,4.7  ,130  ,2024-06-20  ,2024-06-25  ,http://example.com/image38.jpg  ,true  
P039  ,Clothing  ,BrandAM  ,XL  ,Blue  ,49.99  ,20  ,Classic blue shirt that is versatile for any occasion  ,S039  ,5  ,4.8  ,140  ,2024-06-30  ,2024-07-05  ,http://example.com/image39.jpg  ,true  
P040  ,Electronics  ,BrandAN  ,N/A  ,Grey  ,299.99  ,10  ,High-performance gaming desktop with powerful graphics card  ,S040  ,10  ,4.9  ,160  ,2024-07-10  ,2024-07-15  ,http://example.com/image40.jpg  ,true  
P041  ,Clothing  ,BrandAO  ,M  ,Pink  ,34.99  ,35  ,Chic pink blouse perfect for both casual and formal settings  ,S041  ,20  ,4.6  ,150  ,2024-07-20  ,2024-07-25  ,http://example.com/image41.jpg  ,true  
P042  ,Electronics  ,BrandAP  ,N/A  ,Black  ,149.99  ,20  ,Wireless headphones with deep bass and noise-canceling features  ,S042  ,20  ,4.5  ,120  ,2024-07-30  ,2024-08-05  ,http://example.com/image42.jpg  ,true  
P043  ,Clothing  ,BrandAQ  ,L  ,Green  ,39.99  ,40  ,Stylish green cardigan perfect for layering in fall  ,S043  ,10  ,4.2  ,80  ,2024-08-10  ,2024-08-15  ,http://example.com/image43.jpg  ,true  
P044  ,Electronics  ,BrandAR  ,N/A  ,Silver  ,199.99  ,15  ,High-quality soundbar with immersive audio experience  ,S044  ,15  ,4.6  ,140  ,2024-08-20  ,2024-08-25  ,http://example.com/image44.jpg  ,true  
P045  ,Clothing  ,BrandAS  ,S  ,Orange  ,19.99  ,80  ,Lightweight orange hoodie perfect for chilly summer evenings  ,S045  ,5  ,4.1  ,50  ,2024-08-30  ,2024-09-05  ,http://example.com/image45.jpg  ,true  
P046  ,Electronics  ,BrandAT  ,N/A  ,Black  ,129.99  ,15  ,Smart fitness tracker with sleep monitoring and activity tracking  ,S046  ,10  ,4.4  ,90  ,2024-09-10  ,2024-09-15  ,http://example.com/image46.jpg  ,true  
P047  ,Clothing  ,BrandAU  ,XL  ,Purple  ,44.99  ,25  ,Trendy purple long-sleeve shirt that adds a pop of color  ,S047  ,15  ,4.8  ,130  ,2024-09-20  ,2024-09-25  ,http://example.com/image47.jpg  ,true  
P048  ,Electronics  ,BrandAV  ,N/A  ,Black  ,349.99  ,8  ,Latest tablet with high-resolution display and powerful processor  ,S048  ,0  ,4.9  ,200  ,2024-09-30  ,2024-10-05  ,http://example.com/image48.jpg  ,true  
P049  ,Clothing  ,BrandAW  ,M  ,Brown  ,39.99  ,50  ,Stylish brown leather belt perfect for adding flair to any outfit  ,S049  ,10  ,4.3  ,90  ,2024-10-10  ,2024-10-15  ,http://example.com/image49.jpg  ,true  
P050  ,Electronics  ,BrandAX  ,N/A  ,Black  ,199.99  ,20  ,High-quality drone with 4K video capabilities for aerial photography  ,S050  ,20  ,4.6  ,150  ,2024-10-20  ,2024-10-25  ,http://example.com/image50.jpg  ,true  
P051  ,Clothing  ,BrandAY  ,L  ,Beige  ,54.99  ,30  ,Comfortable beige sweater suitable for layering in winter  ,S051  ,5  ,4.5  ,120  ,2024-10-30  ,2024-11-05  ,http://example.com/image51.jpg  ,true  
P052  ,Electronics  ,BrandAZ  ,N/A  ,White  ,89.99  ,25  ,Portable projector with high-resolution display for presentations  ,S052  ,15  ,4.4  ,110  ,2024-11-10  ,2024-11-15  ,http://example.com/image52.jpg  ,true  
P053  ,Clothing  ,BrandBA  ,S  ,Red  ,29.99  ,100  ,Casual red summer dress perfect for outdoor events  ,S053  ,10  ,4.2  ,95  ,2024-11-20  ,2024-11-25  ,http://example.com/image53.jpg  ,true  
P054  ,Electronics  ,BrandBB  ,N/A  ,Black  ,199.99  ,15  ,Smartwatch with fitness tracking and heart rate monitoring  ,S054  ,25  ,4.7  ,130  ,2024-11-30  ,2024-12-05  ,http://example.com/image54.jpg  ,true  
P055  ,Clothing  ,BrandBC  ,XL  ,Blue  ,49.99  ,20  ,Classic blue shirt that is versatile for any occasion  ,S055  ,5  ,4.8  ,140  ,2024-12-10  ,2024-12-15  ,http://example.com/image55.jpg  ,true  
P056  ,Electronics  ,BrandBD  ,N/A  ,Grey  ,299.99  ,10  ,High-performance gaming desktop with powerful graphics card  ,S056  ,10  ,4.9  ,160  ,2024-12-20  ,2024-12-25  ,http://example.com/image56.jpg  ,true  
P057  ,Clothing  ,BrandBE  ,M  ,Pink  ,34.99  ,35  ,Chic pink blouse perfect for both casual and formal settings  ,S057  ,20  ,4.6  ,150  ,2025-01-01  ,2025-01-05  ,http://example.com/image57.jpg  ,true  
P058  ,Electronics  ,BrandBF  ,N/A  ,Black  ,149.99  ,20  ,Wireless headphones with deep bass and noise-canceling features  ,S058  ,20  ,4.5  ,120  ,2025-01-10  ,2025-01-15  ,http://example.com/image58.jpg  ,true  
P059  ,Clothing  ,BrandBG  ,L  ,Green  ,39.99  ,40  ,Stylish green cardigan perfect for layering in fall  ,S059  ,10  ,4.2  ,80  ,2025-01-20  ,2025-01-25  ,http://example.com/image59.jpg  ,true  
P060  ,Electronics  ,BrandBH  ,N/A  ,Silver  ,199.99  ,15  ,High-quality soundbar with immersive audio experience  ,S060  ,15  ,4.6  ,140  ,2025-01-30  ,2025-02-05  ,http://example.com/image60.jpg  ,true  
P061  ,Clothing  ,BrandBI  ,S  ,Orange  ,19.99  ,80  ,Lightweight orange hoodie perfect for chilly summer evenings  ,S061  ,5  ,4.1  ,50  ,2025-02-10  ,2025-02-15  ,http://example.com/image61.jpg  ,true  
P062  ,Electronics  ,BrandBJ  ,N/A  ,Black  ,129.99  ,15  ,Smart fitness tracker with sleep monitoring and activity tracking  ,S062  ,10  ,4.4  ,90  ,2025-02-20  ,2025-02-25  ,http://example.com/image62.jpg  ,true  
P063  ,Clothing  ,BrandBK  ,XL  ,Purple  ,44.99  ,25  ,Trendy purple long-sleeve shirt that adds a pop of color  ,S063  ,15  ,4.8  ,130  ,2025-03-01  ,2025-03-05  ,http://example.com/image63.jpg  ,true  
P064  ,Electronics  ,BrandBL  ,N/A  ,Black  ,349.99  ,8  ,Latest tablet with high-resolution display and powerful processor  ,S064  ,0  ,4.9  ,200  ,2025-03-10  ,2025-03-15  ,http://example.com/image64.jpg  ,true  
P065  ,Clothing  ,BrandBM  ,M  ,Brown  ,39.99  ,50  ,Stylish brown leather belt perfect for adding flair to any outfit  ,S065  ,10  ,4.3  ,90  ,2025-03-20  ,2025-03-25  ,http://example.com/image65.jpg  ,true  
P066  ,Electronics  ,BrandBN  ,N/A  ,Black  ,199.99  ,20  ,High-quality drone with 4K video capabilities for aerial photography  ,S066  ,20  ,4.6  ,150  ,2025-03-30  ,2025-04-02  ,http://example.com/image66.jpg  ,true  
P067  ,Clothing  ,BrandBO  ,L  ,Beige  ,54.99  ,30  ,Comfortable beige sweater suitable for layering in winter  ,S067  ,5  ,4.5  ,120  ,2025-04-10  ,2025-04-15  ,http://example.com/image67.jpg  ,true  
P068  ,Electronics  ,BrandBP  ,N/A  ,White  ,89.99  ,25  ,Portable projector with high-resolution display for presentations  ,S068  ,15  ,4.4  ,110  ,2025-04-20  ,2025-04-25  ,http://example.com/image68.jpg  ,true  
P069  ,Clothing  ,BrandBQ  ,S  ,Red  ,29.99  ,100  ,Casual red summer dress perfect for outdoor events  ,S069  ,10  ,4.2  ,95  ,2025-04-30  ,2025-05-05  ,http://example.com/image69.jpg  ,true  
P070  ,Electronics  ,BrandBR  ,N/A  ,Black  ,199.99  ,15  ,Smartwatch with fitness tracking and heart rate monitoring  ,S070  ,25  ,4.7  ,130  ,2025-05-10  ,2025-05-15  ,http://example.com/image70.jpg  ,true  
P071  ,Clothing  ,BrandBS  ,XL  ,Blue  ,49.99  ,20  ,Classic blue shirt that is versatile for any occasion  ,S071  ,5  ,4.8  ,140  ,2025-05-20  ,2025-05-25  ,http://example.com/image71.jpg  ,true  
P072  ,Electronics  ,BrandBT  ,N/A  ,Grey  ,299.99  ,10  ,High-performance gaming desktop with powerful graphics card  ,S072  ,10  ,4.9  ,160  ,2025-05-30  ,2025-06-05  ,http://example.com/image72.jpg  ,true  
P073  ,Clothing  ,BrandBU  ,M  ,Pink  ,34.99  ,35  ,Chic pink blouse perfect for both casual and formal settings  ,S073  ,20  ,4.6  ,150  ,2025-06-10  ,2025-06-15  ,http://example.com/image73.jpg  ,true  
P074  ,Electronics  ,BrandBV  ,N/A  ,Black  ,149.99  ,20  ,Wireless headphones with deep bass and noise-canceling features  ,S074  ,20  ,4.5  ,120  ,2025-06-20  ,2025-06-25  ,http://example.com/image74.jpg  ,true  
P075  ,Clothing  ,BrandBW  ,L  ,Green  ,39.99  ,40  ,Stylish green cardigan perfect for layering in fall  ,S075  ,10  ,4.2  ,80  ,2025-06-30  ,2025-07-05  ,http://example.com/image75.jpg  ,true  
P076  ,Electronics  ,BrandBX  ,N/A  ,Silver  ,199.99  ,15  ,High-quality soundbar with immersive audio experience  ,S076  ,15  ,4.6  ,140  ,2025-07-10  ,2025-07-15  ,http://example.com/image76.jpg  ,true  
P077  ,Clothing  ,BrandBY  ,S  ,Orange  ,19.99  ,80  ,Lightweight orange hoodie perfect for chilly summer evenings  ,S077  ,5  ,4.1  ,50  ,2025-07-20  ,2025-07-25  ,http://example.com/image77.jpg  ,true  
P078  ,Electronics  ,BrandBZ  ,N/A  ,Black  ,129.99  ,15  ,Smart fitness tracker with sleep monitoring and activity tracking  ,S078  ,10  ,4.4  ,90  ,2025-07-30  ,2025-08-05  ,http://example.com/image78.jpg  ,true  
P079  ,Clothing  ,BrandCA  ,XL  ,Purple  ,44.99  ,25  ,Trendy purple long-sleeve shirt that adds a pop of color  ,S079  ,15  ,4.8  ,130  ,2025-08-10  ,2025-08-15  ,http://example.com/image79.jpg  ,true  
P080  ,Electronics  ,BrandCB  ,N/A  ,Black  ,349.99  ,8  ,Latest tablet with high-resolution display and powerful processor  ,S080  ,0  ,4.9  ,200  ,2025-08-20  ,2025-08-25  ,http://example.com/image80.jpg  ,true  
P081  ,Clothing  ,BrandCC  ,M  ,Brown  ,39.99  ,50  ,Stylish brown leather belt perfect for adding flair to any outfit  ,S081  ,10  ,4.3  ,90  ,2025-08-30  ,2025-09-05  ,http://example.com/image81.jpg  ,true  
P082  ,Electronics  ,BrandCD  ,N/A  ,Black  ,199.99  ,20  ,High-quality drone with 4K video capabilities for aerial photography  ,S082  ,20  ,4.6  ,150  ,2025-09-10  ,2025-09-15  ,http://example.com/image82.jpg  ,true  
P083  ,Clothing  ,BrandCE  ,L  ,Beige  ,54.99  ,30  ,Comfortable beige sweater suitable for layering in winter  ,S083  ,5  ,4.5  ,120  ,2025-09-20  ,2025-09-25  ,http://example.com/image83.jpg  ,true  
P084  ,Electronics  ,BrandCF  ,N/A  ,White  ,89.99  ,25  ,Portable projector with high-resolution display for presentations  ,S084  ,15  ,4.4  ,110  ,2025-09-30  ,2025-10-05  ,http://example.com/image84.jpg  ,true  
P085  ,Clothing  ,BrandCG  ,S  ,Red  ,29.99  ,100  ,Casual red summer dress perfect for outdoor events  ,S085  ,10  ,4.2  ,95  ,2025-10-10  ,2025-10-15  ,http://example.com/image85.jpg  ,true  
P086  ,Electronics  ,BrandCH  ,N/A  ,Black  ,199.99  ,15  ,Smartwatch with fitness tracking and heart rate monitoring  ,S086  ,25  ,4.7  ,130  ,2025-10-20  ,2025-10-25  ,http://example.com/image86.jpg  ,true  
P087  ,Clothing  ,BrandCI  ,XL  ,Blue  ,49.99  ,20  ,Classic blue shirt that is versatile for any occasion  ,S087  ,5  ,4.8  ,140  ,2025-10-30  ,2025-11-05  ,http://example.com/image87.jpg  ,true  
P088  ,Electronics  ,BrandCJ  ,N/A  ,Grey  ,299.99  ,10  ,High-performance gaming desktop with powerful graphics card  ,S088  ,10  ,4.9  ,160  ,2025-11-10  ,2025-11-15  ,http://example.com/image88.jpg  ,true  
P089  ,Clothing  ,BrandCK  ,M  ,Pink  ,34.99  ,35  ,Chic pink blouse perfect for both casual and formal settings  ,S089  ,20  ,4.6  ,150  ,2025-11-20  ,2025-11-25  ,http://example.com/image89.jpg  ,true  
P090  ,Electronics  ,BrandCL  ,N/A  ,Black  ,149.99  ,20  ,Wireless headphones with deep bass and noise-canceling features  ,S090  ,20  ,4.5  ,120  ,2025-11-30  ,2025-12-05  ,http://example.com/image90.jpg  ,true  
P091  ,Clothing  ,BrandCM  ,L  ,Green  ,39.99  ,40  ,Stylish green cardigan perfect for layering in fall  ,S091  ,10  ,4.2  ,80  ,2025-12-10  ,2025-12-15  ,http://example.com/image91.jpg  ,true  
P092  ,Electronics  ,BrandCN  ,N/A  ,Silver  ,199.99  ,15  ,High-quality soundbar with immersive audio experience  ,S092  ,15  ,4.6  ,140  ,2025-12-20  ,2025-12-25  ,http://example.com/image92.jpg  ,true  
P093  ,Clothing  ,BrandCO  ,S  ,Orange  ,19.99  ,80  ,Lightweight orange hoodie perfect for chilly summer evenings  ,S093  ,5  ,4.1  ,50  ,2026-01-01  ,2026-01-05  ,http://example.com/image93.jpg  ,true  
P094  ,Electronics  ,BrandCP  ,N/A  ,Black  ,129.99  ,15  ,Smart fitness tracker with sleep monitoring and activity tracking  ,S094  ,10  ,4.4  ,90  ,2026-01-10  ,2026-01-15  ,http://example.com/image94.jpg  ,true  
P095  ,Clothing  ,BrandCQ  ,XL  ,Purple  ,44.99  ,25  ,Trendy purple long-sleeve shirt that adds a pop of color  ,S095  ,15  ,4.8  ,130  ,2026-01-20  ,2026-01-25  ,http://example.com/image95.jpg  ,true  
P096  ,Electronics  ,BrandCR  ,N/A  ,Black  ,349.99  ,8  ,Latest tablet with high-resolution display and powerful processor  ,S096  ,0  ,4.9  ,200  ,2026-01-30  ,2026-02-05  ,http://example.com/image96.jpg  ,true  
P097  ,Clothing  ,BrandCS  ,M  ,Brown  ,39.99  ,50  ,Stylish brown leather belt perfect for adding flair to any outfit  ,S097  ,10  ,4.3  ,90  ,2026-02-10  ,2026-02-15  ,http://example.com/image97.jpg  ,true  
P098  ,Electronics  ,BrandCT  ,N/A  ,Black  ,199.99  ,20  ,High-quality drone with 4K video capabilities for aerial photography  ,S098  ,20  ,4.6  ,150  ,2026-02-20  ,2026-02-25  ,http://example.com/image98.jpg  ,true  
P099  ,Clothing  ,BrandCU  ,L  ,Beige  ,54.99  ,30  ,Comfortable beige sweater suitable for layering in winter  ,S099  ,5  ,4.5  ,120  ,2026-02-28  ,2026-03-05  ,http://example.com/image99.jpg  ,true  
P100  ,Electronics  ,BrandCV  ,N/A  ,White  ,89.99  ,25  ,Portable projector with high-resolution display for presentations  ,S100  ,15  ,4.4  ,110  ,2026-03-10  ,2026-03-15  ,http://example.com/image100.jpg  ,true  
